               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089885,            0.047159,            0.046787,             0.12077,             0.17026,            0.081245,            0.025565,             0.06606,            0.026231,            0.033751,            0.070319,           0.0032979,           0.0032979
                   1,            0.063644,            0.044275,            0.033601,             0.31445,             0.30862,             0.16297,            0.071146,            0.063151,            0.022429,            0.019193,            0.040057,           0.0063686,           0.0063686
                   2,            0.061058,            0.042362,            0.026153,             0.21515,             0.41977,             0.20197,            0.079456,            0.067248,            0.020736,            0.016624,             0.00953,           0.0091753,           0.0091753
                   3,            0.056047,            0.040066,            0.021018,             0.34145,             0.45754,             0.33477,             0.18291,            0.048932,             0.02328,            0.012708,            0.008812,            0.008812,            0.008812
                   4,            0.051442,            0.041613,            0.016652,             0.43047,             0.46345,             0.36832,             0.21779,            0.049098,             0.02483,            0.015682,            0.008812,            0.008812,            0.008812
                   5,            0.047423,            0.042233,            0.016004,             0.38079,             0.43078,             0.31751,             0.18504,            0.051619,            0.024423,            0.015226,            0.008416,            0.008416,            0.008416
                   6,            0.046393,            0.041366,            0.014107,             0.38841,             0.48416,             0.38411,             0.22375,            0.043064,            0.025866,            0.011536,             0.00802,             0.00802,             0.00802
                   7,            0.044853,            0.039444,            0.012281,             0.44606,             0.46168,             0.38106,             0.24602,            0.044523,            0.023899,            0.014408,            0.007624,            0.007624,            0.007624
                   8,            0.043303,            0.039532,            0.011919,             0.49081,             0.47193,             0.40702,              0.2533,            0.040424,            0.023652,            0.014701,            0.007228,            0.007228,            0.007228
                   9,            0.042753,            0.040369,            0.010462,             0.55312,             0.51925,             0.50679,              0.3109,            0.041664,            0.023742,            0.010503,            0.006832,            0.006832,            0.006832
                  10,            0.041887,            0.039678,           0.0091826,             0.42323,             0.51054,             0.40568,             0.26663,            0.041249,            0.023804,           0.0099644,            0.006436,            0.006436,            0.006436
                  11,            0.040134,            0.037176,           0.0083477,             0.55372,             0.48072,             0.46671,             0.30657,            0.039237,            0.023564,            0.010446,             0.00604,             0.00604,             0.00604
                  12,            0.039536,            0.037182,           0.0079607,             0.53789,             0.52183,             0.49772,             0.31611,            0.040859,             0.02533,            0.011955,            0.005644,            0.005644,            0.005644
                  13,            0.037805,             0.03633,           0.0068793,             0.47772,             0.55667,             0.48513,             0.32874,            0.039783,            0.023837,           0.0096262,            0.005248,            0.005248,            0.005248
                  14,            0.037522,            0.037469,           0.0075248,             0.52804,             0.52214,             0.49473,             0.34328,            0.040416,              0.0247,             0.01383,            0.004852,            0.004852,            0.004852
                  15,            0.036609,            0.036569,           0.0056351,             0.47563,             0.55159,             0.49627,             0.34037,            0.038378,            0.025111,            0.008985,            0.004456,            0.004456,            0.004456
                  16,            0.034367,            0.032344,           0.0058809,             0.51844,             0.57189,             0.51963,             0.36568,            0.038445,            0.024241,           0.0089942,             0.00406,             0.00406,             0.00406
                  17,            0.035539,             0.03375,           0.0057508,             0.51773,             0.53545,             0.50442,             0.35338,             0.03703,            0.023833,           0.0095529,            0.003664,            0.003664,            0.003664
                  18,            0.033959,            0.032488,           0.0049765,             0.54663,             0.56286,             0.52177,             0.37355,            0.036861,            0.024675,           0.0082855,            0.003268,            0.003268,            0.003268
                  19,            0.033466,            0.031234,           0.0047841,              0.5004,              0.5762,             0.52383,             0.37308,            0.035477,            0.025059,           0.0079059,            0.002872,            0.002872,            0.002872
                  20,            0.033013,            0.031225,           0.0043635,             0.48454,             0.53801,             0.51654,             0.36969,            0.036165,             0.02509,           0.0069797,            0.002476,            0.002476,            0.002476
                  21,            0.031956,            0.032322,           0.0040987,             0.53365,             0.49023,             0.49212,             0.35045,            0.036087,            0.025769,           0.0073354,             0.00208,             0.00208,             0.00208
                  22,            0.030331,            0.030385,           0.0035713,             0.47914,             0.56947,             0.51083,             0.37048,            0.034944,              0.0251,           0.0074252,            0.001684,            0.001684,            0.001684
                  23,            0.029658,            0.028295,           0.0036861,             0.54986,              0.5497,             0.54225,             0.38766,            0.035653,            0.025444,           0.0076964,            0.001288,            0.001288,            0.001288
                  24,            0.029778,             0.02906,           0.0034167,              0.5169,              0.5779,             0.53828,             0.39261,             0.03576,            0.025118,           0.0068349,            0.000892,            0.000892,            0.000892
